date,num
2024-03-16,4
2024-03-17,10
2024-03-18,8
2024-03-19,10
2024-03-20,15
2024-03-21,4
2024-03-22,8
2024-03-23,10
2024-03-24,21
2024-03-25,16
2024-03-26,13
2024-03-27,21
2024-03-28,9
2024-03-29,13
2024-03-30,6
2024-03-31,12
2024-04-01,12
2024-04-02,13
2024-04-03,11
2024-04-04,9
2024-04-05,18
2024-04-06,10
2024-04-07,12
2024-04-08,5
2024-04-09,10
2024-04-10,5
2024-04-11,4
2024-04-12,6
2024-04-13,16
2024-04-14,24
2024-04-15,13
2024-04-16,5
2024-04-17,4
2024-04-18,10
2024-04-19,8
2024-04-20,5
2024-04-21,11
2024-04-22,4
2024-04-23,7
2024-04-24,10
2024-04-25,11
2024-04-26,7
2024-04-27,6
2024-04-28,15
2024-04-29,37
2024-04-30,27
2024-05-01,16
2024-05-02,11
2024-05-03,8
2024-05-04,16
2024-05-05,17
2024-05-06,10
2024-05-07,25
2024-05-08,25
2024-05-09,7
2024-05-10,8
2024-05-11,6
2024-05-12,14
2024-05-13,15
2024-05-14,10
2024-05-15,6
2024-05-16,9
2024-05-17,10
2024-05-18,6
2024-05-19,5
2024-05-20,5
2024-05-21,5
2024-05-22,8
2024-05-23,9
2024-05-24,12
2024-05-25,7
2024-05-26,12
2024-05-27,9
2024-05-28,9
2024-05-29,14
2024-05-30,9
2024-05-31,17
2024-06-01,13
2024-06-02,16
2024-06-03,18
2024-06-04,15
2024-06-05,13
2024-06-06,13
2024-06-07,13
2024-06-08,11
2024-06-09,11
2024-06-10,10
2024-06-11,4
2024-06-12,7
